ESD,SETTING,LOW,HIGH
R034BY006UT,INTERSPACES,3,4
R034BY006UT,CANOPY,3,5
R034BY006UT,SITE,4,4
R036XY325CO,INTERSPACES,2,4
R036XY325CO,CANOPY,5,6
R036XY325CO,SITE,4,4
R036XY114CO,INTERSPACES,3,6
R036XY113CO,INTERSPACES,3,4
R036XY113CO,CANOPY,5,6
R036XY113CO,SITE,4,4
R036XY284CO,INTERSPACES,2,4
R036XY284CO,CANOPY,4,6
R034BY109UT,INTERSPACES,2,3
R034BY109UT,CANOPY,4,5
R034BY109UT,SITE,3,4
R034BY117UT,INTERSPACES,2,3
R034BY117UT,CANOPY,3,4
R034BY117UT,SITE,3,3
R036XY287CO,INTERSPACES,2,4
R036XY287CO,CANOPY,3,5
R034BY104UT,INTERSPACES,2,3
R034BY104UT,CANOPY,3,4
R034BY104UT,SITE,3,3
R034BY322UT,INTERSPACES,4,5
R034BY322UT,CANOPY,3,4
R034BY322UT,SITE,4,4
R034BY112UT,INTERSPACES,2,3
R034BY112UT,CANOPY,3,4
R034BY112UT,SITE,3,3
R036XY111CO,INTERSPACES,3,4
R036XY111CO,CANOPY,4,5
R036XY111CO,SITE,4,4
R036XY289CO,INTERSPACES,2,3
R036XY326CO,INTERSPACES,2,3
R036XY326CO,CANOPY,4,5
R036XY326CO,SITE,3,3
R035XY136UT,INTERSPACES,3,4
R035XY136UT,CANOPY,4,5
R035XY136UT,SITE,4,4
R034BY404CO,INTERSPACES,2,4
R034BY404CO,CANOPY,4,6
R036XY315UT,SITE,5,6
R036XY405CO,SITE,4,4
R036XY445CO,INTERSPACES,3,6
R034BY106UT,INTERSPACES,4,4
R034BY106UT,CANOPY,4,5
R034BY106UT,SITE,4,4
R034BY212UT,INTERSPACES,4,5
R034BY212UT,CANOPY,5,6
R034BY212UT,SITE,5,5
R034BY248UT,INTERSPACES,4,5
R034BY248UT,CANOPY,5,6
R034BY248UT,SITE,5,5
R034BY240UT,INTERSPACES,3,5
R034BY240UT,CANOPY,4,5
R034BY240UT,SITE,4,4
R034BY244UT,INTERSPACES,4,5
R034BY244UT,CANOPY,5,6
R034BY244UT,SITE,5,5
R034BY202UT,INTERSPACES,4,5
R034BY202UT,CANOPY,5,6
R034BY202UT,SITE,5,5
R036XY446CO,SITE,4,5
R036XY142CO,SITE,3,5
R036XY141CO,SITE,3,5
R036XY346CO,INTERSPACES,2,4
R036XY346CO,CANOPY,4,6
R036XY310CO,INTERSPACES,1,3
R036XY310CO,CANOPY,2,4
R034BY101UT,INTERSPACES,3,4
R034BY101UT,CANOPY,4,5
R034BY101UT,SITE,4,4
R034BY103UT,INTERSPACES,2,3
R034BY103UT,CANOPY,3,4
R034BY103UT,SITE,3,3
R034BY121UT,INTERSPACES,3,4
R034BY121UT,CANOPY,4,5
R034BY121UT,SITE,4,4
R036XY038CO,SITE,4,5
R034BY227UT,INTERSPACES,3,4
R034BY227UT,CANOPY,4,5
R034BY227UT,SITE,4,4
R034BY115UT,INTERSPACES,2,3
R034BY115UT,CANOPY,3,4
R034BY115UT,SITE,3,3
R034BY315UT,INTERSPACES,2,4
R034BY315UT,CANOPY,4,5
R034BY315UT,SITE,4,4
R035XY263UT,SITE,4,4
R036XY266CO,SITE,3,5
R035XY015UT,INTERSPACES,3,4
R035XY015UT,CANOPY,4,5
R035XY015UT,SITE,4,4
R035XY003UT,INTERSPACES,2,3
R035XY003UT,CANOPY,2,3
R035XY003UT,SITE,2,3
R035XY011UT,INTERSPACES,4,5
R035XY011UT,CANOPY,5,6
R035XY011UT,SITE,5,5
R034BY216UT,INTERSPACES,4,5
R034BY216UT,CANOPY,5,6
R034BY216UT,SITE,5,5
R034BY233UT,INTERSPACES,3,4
R034BY233UT,CANOPY,4,5
R034BY233UT,SITE,4,4
R034BY247UT,INTERSPACES,4,5
R034BY247UT,CANOPY,5,6
R034BY247UT,SITE,5,5
R034BY205UT,INTERSPACES,4,5
R034BY205UT,CANOPY,5,6
R034BY205UT,SITE,5,5
R034BY206UT,INTERSPACES,4,5
R034BY206UT,CANOPY,5,6
R034BY206UT,SITE,5,5
R034BY251UT,INTERSPACES,3,4
R034BY251UT,CANOPY,4,5
R034BY251UT,SITE,4,4
R034BY225UT,INTERSPACES,3,4
R034BY225UT,CANOPY,4,5
R034BY118UT,INTERSPACES,3,4
R034BY118UT,CANOPY,4,5
R034BY118UT,SITE,4,4
R035XY240UT,SITE,4,4
R035XY146UT,INTERSPACES,3,4
R035XY146UT,CANOPY,4,5
